symbol,series,open_price,high_price,low_price,ltp,prev_price,net_price,trade_quantity,turnover,market_type,ca_ex_dt,ca_purpose,perChange
ALKALI,EQ,73.06,87.66,72.05,87.66,73.05,20.0,133798,112.64453619999999,N,14-Aug-2026,Dividend - Re 1 Per Share,20.0
MONQ50,EQ,349.99,396.3,330.26,396.3,330.25,20.0,2229451,8696.8654059,N,-,-,20.0
ASTAR,EQ,807.3,807.35,760.35,807.35,672.8,20.0,13851,111.2609277,N,21-Sep-2026,Dividend - Rs 1.50 Per Share,20.0
SVGLOBAL,EQ,127.5,153.91,126.4,153.9,128.26,19.99,6683,9.496543,N,-,-,19.99
MASPTOP50,EQ,108.0,124.59,106.42,124.59,103.83,19.99,4373919,5196.6531638999995,N,-,-,19.99
SHIVAMAUTO,EQ,16.7,19.42,16.7,19.42,16.19,19.95,291980,56.147754000000006,N,09-Dec-2021,Rights 2:9 @ Premium Rs 16/-,19.95
LPDC,EQ,6.3,7.32,6.14,7.24,6.1,18.69,456816,31.657348799999998,N,23-Sep-2024,Annual General Meeting,18.69
TIMEX,EQ,613.05,729.0,613.05,720.0,611.1,17.82,6651306,46394.189611199996,N,-,-,17.82
MANUGRAPH,EQ,15.04,18.22,15.04,17.81,15.19,17.25,591694,106.0315648,N,20-Sep-2024,Annual General Meeting,17.25
AVALON,EQ,2236.2,2618.0,2218.3,2602.0,2230.0,16.68,4310981,106717.90355690001,N,-,-,16.68
SAMBHV,EQ,129.08,150.99,129.08,150.11,129.09,16.28,28285913,40850.5155546,N,-,-,16.28
GLOBE,EQ,1.79,2.1,1.75,2.04,1.78,14.61,2740470,53.439165,N,17-Jan-2025,Rights 1:2 @ Premium Rs 1/-,14.61
JETFREIGHT,EQ,19.4,22.5,18.4,22.22,19.43,14.36,1486253,313.4507577,N,11-Jan-2023,Rights 1:1 @ Premium Rs 11.25/-,14.36
NRBBEARING,EQ,474.0,534.9,472.6,529.5,472.2,12.13,9738086,50950.6397606,N,13-May-2026,Interim Dividend - Rs 2.25 Per Share,12.13
POONAWALLA,EQ,434.0,492.0,434.0,485.0,432.8,12.06,7163603,33551.451010799996,N,16-Jul-2024,Annual General Meeting,12.06
ATGL,EQ,587.4,674.8,587.4,657.6,587.0,12.03,39305845,256509.94447,N,12-Jun-2026,Dividend - Rs 0.25 Per Share,12.03
DPABHUSHAN,EQ,1330.0,1482.0,1330.0,1475.0,1337.0,10.32,37904,536.2771632,N,22-Sep-2023,Dividend - Rs 1 Per Share,10.32
NGIL,EQ,36.33,38.43,35.94,38.43,34.94,9.99,33418,12.588560600000001,N,20-Sep-2024,Annual General Meeting,9.99
QUINT,EQ,67.52,70.02,58.56,70.02,63.66,9.99,668824,461.3547952,N,25-Aug-2026,Rights - 7 Ccps And 7 Warrants:40,9.99
TALBROAUTO,EQ,442.0,480.8,437.5,478.0,435.2,9.83,1960823,9189.9852364,N,11-Sep-2026,Dividend - Re 0.55 Per Share,9.83
