symbol,series,open_price,high_price,low_price,ltp,prev_price,net_price,trade_quantity,turnover,market_type,ca_ex_dt,ca_purpose,perChange
SBGLP,EQ,26.52,26.59,21.33,22.0,25.78,-14.66,587657,139.74483460000002,N,11-Sep-2026,Dividend - Re 0.12 Per Share,-14.66
TATACHEM,EQ,729.0,741.35,687.1,689.4,779.3,-11.54,14086032,99988.28954879999,N,10-Jun-2026,Dividend - Rs 11 Per Share,-11.54
ATALREAL,EQ,14.29,16.02,14.29,14.29,15.87,-9.96,18623657,2769.3377959,N,22-Aug-2024,Rights 1:2 @ Premium Rs 5/-,-9.96
TRANSCOR,EQ,25.04,25.49,23.0,23.0,25.04,-8.15,3513,0.8382017999999999,N,-,-,-8.15
STLSTRINF,EQ,26.0,26.9,23.12,23.13,25.15,-8.03,28554,6.964320600000001,N,-,-,-8.03
LCCPROJECT,EQ,159.63,163.7,153.09,156.6,170.1,-7.94,11654009,18101.0067788,N,-,-,-7.94
GODIGIT,EQ,255.5,255.9,235.8,236.7,255.5,-7.36,3424067,8269.8066184,N,-,-,-7.36
ROUTE,EQ,490.3,490.7,457.6,463.0,492.6,-6.01,1118251,5236.5457828,N,18-Aug-2026,Dividend - Rs 2 Per Share,-6.01
HALDER,EQ,286.2,293.1,277.0,279.85,297.15,-5.82,482,1.3767366,N,-,-,-5.82
CUPID,EQ,280.3,282.0,251.1,262.9,279.15,-5.82,27287571,73026.9975102,N,09-Mar-2026,Bonus 4:1,-5.82
KANPRPLA,EQ,262.35,262.35,243.9,245.0,259.75,-5.68,26773,66.8709221,N,03-Aug-2026,Dividend - Rs 1.20 Per Share,-5.68
INDIQUBE,EQ,200.0,202.87,190.9,191.25,202.45,-5.53,81977,160.1256741,N,-,-,-5.53
UNIPARTS,EQ,878.0,885.4,824.95,831.1,878.05,-5.35,220753,1876.7316294999998,N,12-Aug-2026,Interim Dividend - Rs 9 Per Share,-5.35
SHIVATEX,EQ,181.0,181.0,163.21,165.01,174.17,-5.26,4948,8.3923028,N,20-Aug-2026,Dividend - Re 0.60 Per Share,-5.26
TATATECH,EQ,761.4,761.4,716.1,719.0,758.75,-5.24,2215517,16151.11893,N,18-Jun-2026,Dividend - Rs 8.35 Per Share & Special Dividend - Rs 3.35 Per Share,-5.24
RELAXO,EQ,314.25,315.0,289.25,293.95,313.7,-5.24,2052973,6033.2770524,N,18-Sep-2026,Dividend - Rs 3.50 Per Share,-6.3
NIACL,EQ,196.76,196.76,186.0,186.99,197.05,-5.11,9375719,17701.357472,N,10-Jul-2026,Dividend - Rs 1.50 Per Share,-5.11
MEDICAMEQ,BE,344.7,344.7,328.05,328.05,346.3,-5.0,29506,97.46716980000001,N,18-Sep-2026,Dividend - Re 1 Per Share,-5.27
ONIXSOLAR,EQ,357.4,357.4,357.4,357.4,376.2,-5.0,6099,21.797826,N,-,-,-5.0
VEEGALAND,BE,154.0,154.0,146.3,146.3,140.0,-5.0,5227484,7892.4553432,N,-,-,4.5
